产品代码,产品名称,净值,累计净值,风险等级,业绩基准,状态
"FBAE60106B","民生理财富竹纯债7天持有期6号理财产品B",1.0411,1.0411,2,"1.50%-2.20%","在售"
"FBAE60106S","民生理财富竹纯债7天持有期6号理财产品S",1.0413,1.0413,2,"1.50%-2.20%","在售"
"FBAE60106Q","民生理财富竹纯债7天持有期6号理财产品Q",1.0414,1.0414,2,"1.50%-2.20%","在售"
"FBAE60232E","民生理财富竹纯债14天持有期32号理财产品E",1.0112,1.0112,2,"1.50%-2.20%","在售"
"FBAE60232P","民生理财富竹纯债14天持有期32号理财产品P",1.0112,1.0112,2,"1.50%-2.20%","在售"
"FBAE60232F","民生理财富竹纯债14天持有期32号理财产品F",1.0112,1.0112,2,"1.50%-2.20%","在售"
"FBAE61011H","民生理财富竹纯债91天持有期8号理财产品H",1.0454,1.0454,2,"1.60%-2.30%","在售"
"FBAG62214A","民生理财富竹固收优选封闭114号理财产品A",1.0088,1.0088,2,"2.50%-2.80%","已结束"
"FBAG62214B","民生理财富竹固收优选封闭114号理财产品B",1.0089,1.0089,2,"2.53%-2.83%","已结束"
"FBAG62214E","民生理财富竹固收优选封闭114号理财产品E",1.0088,1.0088,2,"2.50%-2.80%","已结束"
"FBAG66007Q","民生理财富竹固收稳健精选封闭7号理财产品Q",1.0081,1.0081,2,"2.60%-3.00%","已结束"
"FBAG62214P","民生理财富竹固收优选封闭114号理财产品P",1.0088,1.0088,2,"2.50%-2.80%","已结束"
"FBAG62214Q","民生理财富竹固收优选封闭114号理财产品Q",1.0091,1.0091,2,"2.60%-2.90%","已结束"
"FBAG62214S","民生理财富竹固收优选封闭114号理财产品S",1.0089,1.0089,2,"2.55%-2.85%","已结束"
"FBAE47517E","民生理财贵竹固收增利半年持有期17号理财产品E",1.0151,1.0151,2,"2.40%-3.20%","在售"
"FBAE47517F","民生理财贵竹固收增利半年持有期17号理财产品F",1.0151,1.0151,2,"2.40%-3.20%","在售"
"FBAF19222B","民生理财天天增利现金管理222号理财产品B",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAF19222S","民生理财天天增利现金管理222号理财产品S",1.0,1.0,1,"同期七天通知存款利率","在售"
"FBAE41233F","民生理财贵竹固收增利双周盈14天持有期33号理财产品F",1.008321,1.008321,2,"1.20%-2.20%","在售"
"FBAE41233P","民生理财贵竹固收增利双周盈14天持有期33号理财产品P",1.008321,1.008321,2,"1.20%-2.20%","在售"
"FBAE41233E","民生理财贵竹固收增利双周盈14天持有期33号理财产品E",1.008321,1.008321,2,"1.20%-2.20%","在售"
